question_id,prompt,A,B,C,D,E,answer,difficulty
1072,Pick the answer that matches the person with the idea or movement he or she is associated with. X)    Charles Graham Sumner Y)    Jane Addams Z)    Andrew Carnegie 1)    the gospel of wealth 2)    social Darwinism 3)    pragmatism 4)    the settlement house movement Answer choices:,X-1; Y-2; Z-3,X-2; Y-3; Z-4,X-2; Y-4; Z-1,X-3; Y-4; Z-1,X-3; Y-1; Z-2,C,0.26
1073,Urban political machines during the Gilded Age,"were scorned by immigrant groups, who were cheated by graft and corruption.",were usually associated with the Republican Party.,often formed alliances with the Women's Christian Temperance Union.,often provided a social safety net in an age when welfare did not yet exist.,were eliminated by the Pendleton Act.,D,0.69
1074,The term spoilsmen is most appropriately applied to,politicians who supported civil service reform.,miners who destroyed important natural areas.,generals who profited off of America's victory in the Spanish-American War.,"urban ""bosses"" who received kickbacks from contracts between the government and private firms.",party loyalists who expected jobs in exchange for their political work.,E,0.25
1075,Coxey's Army was,a disgruntled band of poor farmers and indentured servants in colonial Virginia.,a group of farmers who protested the excise tax on whiskey during Washington's administration.,an African American regiment that fought in the Civil War.,an agrarian protest movement against the government's inaction in the wake of the Panic of 1893.,"World War I veterans who marched to Washington, D.C., during the Depression to demand their bonus payments.",D,0.28
1076,A major source of farmers' problems in the late 19th century was,"the inability to attain new, mechanized farm equipment.",a declining urban market for their goods.,inflation due to an increase in the money supply.,the unwillingness of the next generation to stay in farming.,overproduction and lowered prices on their crops.,E,0.3
1077,"Granger laws, passed in several states in the 1870s and 1880s,",outlawed the sale and consumption of alcohol on a county-by-county basis.,increased the supply of money.,established homesteading on the Great Plains.,regulated the rates railroads could charge farmers.,reformed electoral practices.,D,0.31
1078,The Platt Amendment and the Roosevelt Corollary are similar in that they both,pushed the Progressive agenda into new areas.,were welcomed by American anti-imperialists who believed in self-determination for all people.,led to war with European powers.,expanded the role of the United States in foreign nations.,were attacked by critics who argued that the president was assuming too much power.,D,0.84
1079,The Spanish-American War is often considered a turning point in U.S. history because it,helped spark an industrial revolution.,ushered in a period of isolation from world affairs for the United States.,made the United States a significant imperialist power.,led to the formation of the League of Nations.,ended the period of laissez-faire and led to greater government involvement in economic matters.,C,0.55
1080,The Open Door policy,divided China into spheres of influence.,allowed for U.S. intervention in Cuban affairs.,stated that the United States reserved the right to intervene in the affairs of Latin American nations.,called for free trade with Africa.,called for equal access to trade with China for all nations.,E,0.73
1081,Alfred Mahan is best known in American history for his argument that,the Philippines should have been granted independence after the Spanish-American War.,"non-Anglo-Saxon peoples are genetically inferior and, therefore, incapable of self-rule.",the United States should develop its naval power and establish overseas colonies if it hoped to be a world power.,Jim Crow laws served the interests of both African Americans and whites in that they maintained social order and harmony.,the power of the industrial giants needed to be reigned in if America were to maintain its democratic government.,C,0.53
1082,"The devastation caused by a hurricane and flood in Galveston, Texas, in 1900 led to calls for",(A)   the replacement of political machines with more efficient and professional forms of municipal government.,federal projects to divert rivers and build levees.,people to abandon seaside cities and move to higher elevations.,a federal income tax.,a religious reawakening to allay fears of divine punishment.,A,0.34
1083,The Progressive movement could most accurately be described as a,working-class response to low wages and long hours.,conservative reaction to immigration.,middle-class response to urbanization and industrialization.,rural response to falling farm prices and powerful banks.,Southern response to the power of Northern politicians.,C,0.26
1084,Theodore Roosevelt used his position as president to,push for measures to protect the environment.,advance a socialist agenda.,reform the banking system.,convince Americans to join World War I.,argue for a strict interpretation of the Constitution.,A,0.22
1085,The passage of the Federal Reserve Act was important because it,made up for revenue lost by the Underwood Tariff.,centralized financial power in one city?New York.,allowed the president to set interest rates.,created a mechanism to regulate the money supply.,nationalized banks in the United States.,D,0.36
1086,All of the following led to World War I EXCEPT,the rise of capitalism.,the formation of alliances.,imperialism.,the desire for self-determination among nations.,extreme nationalism.,A,0.58
1087,The immediate cause of the United States's entrance into World War I was the,assassination of Archduke Franz Ferdinand of Austria.,announcement by Germany of the use of unrestricted submarine warfare.,sinking of the Lusitania.,Zimmermann Note.,"attack on Pearl Harbor, Hawaii.",B,0.24
